"requirement_id","evidence_area","required_input","required_fields","current_demo_evidence","demo_coverage_status","current_workflow_status","real_use_status","pilot_priority","source_owner","validator","period_unit","use_in_calculation","decision_consequence_if_missing","next_action","report_reference"
"LEGAL-05","Legal entitlement and compliance","Claim verification","verification_requirement|invoice_evidence|asset_register_evidence|payment_evidence|location_use_evidence|related_party_check|holding_period|certification|verifier|review_sla","Instrument evidence requirements owners and burden scores are generated; no claim evidence is loaded.","Workflow demonstrated","NOT_REQUESTED","Enterprise and FBR evidence required","Limited-pilot minimum","FBR / BOI / SEZA / auditors","FBR / authorized auditor","Instrument rule and claim period; evidence status/hours","Auditability and administrative-feasibility gate","A generated deduction cannot become an allowable claim","Populate one synthetic claim evidence pack with pass and hold outcomes","Report Table 6"
"LEGAL-06","Legal entitlement and compliance","Compliance events","compliance_event_id|entity_id|obligation_id|event_type|event_timestamp|severity|action|resolution|responsible_body|compliance_status","Current compliance states drive gates; events actions and resolutions are not source-linked.","Partially demonstrated","STANDARDIZED","Source validation required","Important for pilot","SEZA / FBR / regulator / developer","SEZA / FBR / legal reviewer","Event timestamp; status/severity","Readiness enforcement and performance history","Current compliance cannot be traced to evidence or cure history","Add dated compliance events and validating authority","Report Table 6"
"FISCAL-01","Enterprise tax accounts and expenditure","Income tax return and assessment","tax_year|taxable_income_pkr_m|turnover_pkr_m|statutory_cit_rate|minimum_tax_pkr_m|other_tax_pkr_m|tax_liability_pkr_m|tax_paid_pkr_m_2026|cit_foregone_pkr_m_2026|deduction_used_actual|credit_used_actual|filing_status|audit_status|assessment_status","Synthetic tax paid and CIT foregone create a proxy; return minimum-tax filing and assessment facts are absent.","Partially demonstrated","STANDARDIZED","Blocking FBR data required","Limited-pilot minimum","FBR / PRAL","FBR validator","Enterprise tax year and filing version; PKR million/rate","Benchmark and scenario cash tax plus official reconciliation","Fiscal outputs remain illustrative and may omit binding tax interactions","Load masked tax-year fields or an FBR-validated minimum extract","Report Table 7"
"FISCAL-02","Enterprise tax accounts and expenditure","Tax losses","opening_tax_loss_pkr_m|loss_type|loss_vintage|loss_generated_pkr_m|loss_utilized_pkr_m|loss_expired_pkr_m|closing_tax_loss_pkr_m|loss_expiry_year|ownership_change_restriction","The engine models incentive carry-forward; opening tax-loss stocks and vintages are absent.","Not demonstrated","NOT_REQUESTED","Blocking FBR data required","Limited-pilot minimum","FBR / audited statements","FBR validator","Enterprise loss vintage and tax year; PKR million/expiry","Realized timing and usability of relief","Near-term utilization and fiscal cost can be overstated","Add opening losses expiry vintages and restrictions for pilot enterprises","Report Table 7"
"FISCAL-03","Enterprise tax accounts and expenditure","Financial statements","revenue_pkr_m|cogs_pkr_m|payroll_pkr_m|ebitda_pkr_m|ebit_pkr_m|interest_pkr_m|depreciation_pkr_m|profit_before_tax_pkr_m|tax_expense_pkr_m|cash_tax_pkr_m|working_capital_pkr_m|debt_pkr_m|equity_pkr_m|assets_pkr_m|cash_flow_pkr_m|audit_opinion","Synthetic sales investment and tax summaries exist; full statements and audit opinion do not.","Partially demonstrated","STANDARDIZED","Blocking enterprise evidence required","Limited-pilot minimum","Audited enterprise statements / SECP","Enterprise auditor / fiscal modeller","Enterprise fiscal year and statement version; PKR million","Cash flow profitability and investor viability","Investor NPV IRR and hurdle-gap tests cannot be calculated","Load a synthetic full financial statement for one archetype","Report Table 7"
"FISCAL-04","Enterprise tax accounts and expenditure","Asset register and CAPEX","project_id|asset_id|asset_category|asset_description|supplier_id|related_party_flag|acquisition_date|placed_in_service_date|gross_cost|currency|asset_location|useful_life_years|benchmark_depreciation|disposal_date|invoice_reference|payment_reference|capex_eligible_usd_m","Aggregate qualifying CAPEX feeds the model; asset lines dates location and evidence are absent.","Partially demonstrated","STANDARDIZED","Blocking enterprise evidence required","Limited-pilot minimum","Enterprise / auditor / SEZA / Customs","FBR / enterprise auditor","Asset line and date; currency/amount/years","Eligible basis depreciation expensing and anti-abuse","Deduction base and timing cannot be independently verified","Add a line-level synthetic asset register and evidence status","Report Table 7"
"FISCAL-05","Enterprise tax accounts and expenditure","R&D expenditure","rd_project_id|rd_activity|rd_personnel_cost|rd_material_cost|rd_contract_cost|rd_spend_usd_m|spend_date|activity_location|technical_objective|ordinary_deductibility|related_party_flag|audit_evidence|public_funding","Synthetic R&D total and checklist exist; project lines and ordinary-deduction tests do not.","Partially demonstrated","STANDARDIZED","Blocking enterprise evidence required","Important for pilot","Enterprise accounts / auditor","Technical reviewer / FBR","Enterprise R&D line and date; currency/amount","Super-deduction uplift and verification","Ordinary activity may be relabelled or double counted","Add one project-level R&D ledger with funding and related-party flags","Report Table 7"
"FISCAL-06","Enterprise tax accounts and expenditure","Training expenditure","training_programme_id|provider|employee_skill_group|training_start|training_end|training_spend_usd_m|direct_cost|wage_time_treatment|certification|ordinary_deductibility|audit_evidence","Synthetic training total and checklist exist; programme participants dates and ordinary-deduction treatment do not.","Partially demonstrated","STANDARDIZED","Blocking enterprise evidence required","Important for pilot","Enterprise / SEZA / provider","SEZA / FBR / auditor","Training programme and date; currency/amount/participant","Training deduction workforce KPI and verification","Quality attribution and double counting cannot be tested","Add one synthetic training programme ledger and participant evidence","Report Table 7"
"FISCAL-07","Enterprise tax accounts and expenditure","Employment and payroll","employee_token|role_skill|employment_start|employment_end|work_location|fte|wage_payroll|net_new_baseline|churn_flag|replacement_flag|employment_actual","Synthetic employment totals exist; payroll location net-new baseline and churn evidence do not.","Partially demonstrated","STANDARDIZED","Source validation required","Important for scale","Enterprise payroll / tax / social data","FBR / BOI / auditor","Employee-month or validated aggregate; count/PKR/status","Employment evidence and deadweight analysis","Employment cannot support a firm-level causal claim","Use masked payroll evidence and a net-new definition","Report Table 7"
"PUBLIC-01","Customs public costs and revenue","Customs declarations","customs_declaration_id|gd_line|importer_id|declaration_date|pct_hs_code|origin|quantity|cif_value|dutiable_value|benchmark_duty_rate|actual_concession_rate|duty_tax_paid|customs_exemption_pkr_m_cumulative|asset_id|project_id","Only cumulative synthetic customs exemption is present; no declaration lines or benchmark bridge exists.","Not demonstrated","NOT_REQUESTED","Blocking FBR and Customs data required","Limited-pilot minimum","FBR Customs / PRAL","FBR Customs validator","Import declaration line and date; amount/rate","Static customs revenue foregone and asset verification","Customs cost cannot be reconciled or attributed","Load a masked line sample or validated annual aggregate with benchmark bridge","Report Table 8"
"PUBLIC-02","Customs public costs and revenue","Infrastructure spend","infrastructure_project_id|zone_id|infrastructure_type|funder|budget_pkr_m|actual_outlay_pkr_m|outlay_date|useful_life_years|beneficiary_allocation|public_infrastructure_cost_pkr_m","An indirect-cost field exists; no project outlay or allocation schedule exists.","Partially demonstrated","STANDARDIZED","Source data required","Important for pilot","Planning / Finance / province / utilities","Finance / Planning validator","Zone project and fiscal year; PKR million/years","Indirect public cost and legacy versus incremental support","Net public cost can be understated","Load cash outlays useful life funder and allocation basis","Report Table 8"
"PUBLIC-03","Customs public costs and revenue","Land support","parcel_id|zone_id|market_value_pkr_m|transfer_price_pkr_m|lease_price_pkr_m|valuation_date|valuation_method|area_acres|tenure|discount_pkr_m|comparable_reference|allocation_rule|land_concession_pkr_m","A land-concession field exists; no valuation method comparable or schedule exists.","Partially demonstrated","STANDARDIZED","Source data required","Important for pilot","Provincial land and revenue / SEZA / valuer","Independent valuation / Finance","Parcel and valuation version; amount/acres/date","Opportunity cost of below-market land","Net impact can omit a major public subsidy","Add one defensible land valuation and allocation example","Report Table 8"
"PUBLIC-04","Customs public costs and revenue","Administration cost","agency|cost_centre|admin_payroll_pkr_m|systems_cost_pkr_m|audit_cost_pkr_m|operating_cost_pkr_m|allocation_driver|admin_review_hours_per_claim|admin_audit_hours_per_claim|admin_cost_per_review_hour_pkr_m","Synthetic review hours audit sample unit cost and FTE are calculated; agency accounts are not validated.","Partially demonstrated","STANDARDIZED","Institutional validation required","Limited-pilot minimum","BOI / SEZA / FBR / Finance","Finance / programme reviewer","Agency cost centre and year; amount/hours/FTE","Administration cost and pilot feasibility","A fiscally feasible instrument may be administratively infeasible","Validate workflow staffing unit cost and allocation basis","Report Table 8"
"PUBLIC-05","Customs public costs and revenue","Utility support","utility_type|tariff_benchmark|tariff_charged|consumption|connection_grant_pkr_m|subsidy_reimbursement_pkr_m|outage_reliability|utility_period|electricity_status|gas_status|water_status|wastewater_status","Zone utility status exists; consumption tariff subsidy grant and reliability series do not.","Partially demonstrated","STANDARDIZED","Source data required","Important for pilot","Utilities / Finance / SEZA","Utility / Finance validator","Zone or enterprise utility period; consumption/tariff/amount","Hidden support and operational plausibility","Utility constraints and implicit support cannot be quantified","Add benchmark tariff charged tariff consumption and reliability","Report Table 8"
"PUBLIC-06","Customs public costs and revenue","Other taxes and attributable revenue","other_revenue_type|collection_period|sales_tax_pkr_m|withholding_tax_pkr_m|payroll_tax_pkr_m|property_tax_pkr_m|fees_pkr_m|customs_paid_pkr_m|attribution_method","The model focuses on CIT and customs context; other attributable public revenue is absent.","Not demonstrated","NOT_REQUESTED","Source data and scope decision required","Important for scale","FBR / province / agency","FBR / Finance validator","Revenue type and year; PKR million","Net fiscal position","Net public return may be understated or inconsistently scoped","Agree scope and add authorized attributable aggregates","Report Table 8"
"PERF-01","Performance additionality and assumptions","Zone KPIs","zone_kpi_id|kpi_definition_version|infrastructure_reliability|legal_compliance|land_utilization|developer_service|approval_sla|connection_sla|data_readiness|zone_investment|zone_jobs|zone_exports|zone_tax_contribution","Activity utilities compliance investment jobs exports and readiness exist; definitions baselines and periods are incomplete.","Partially demonstrated","STANDARDIZED","Source validation required","Important for pilot","SEZA / developer / utility / BOI","BOI / SEZA / utility validator","Zone KPI definition and period; mixed units","Classification sequencing pilot selection and rollout","A zone score may be mistaken for firm-level entitlement","Version KPI definitions and permitted decision use","Report Table 9"
"PERF-02","Performance additionality and assumptions","Enterprise KPIs","enterprise_kpi_id|verified_incremental_capex|rd_spend_usd_m|training_spend_usd_m|employment_actual|skills|exports_usd_m_2026|import_substitution|local_supplier_value|technology_transfer|productivity|formalization|future_fiscal_contribution","Synthetic CAPEX R&D training jobs and exports exist; incremental verification and productivity/linkage evidence do not.","Partially demonstrated","STANDARDIZED","Source validation required","Important for pilot","Enterprise / auditor / SEZA / FBR","Auditor / SEZA / FBR","Enterprise KPI definition and period; mixed units","Instrument evidence and pilot evaluation","Reported activity may be treated as incremental without proof","Attach evidence and distinguish reported verified and incremental values","Report Table 9"
"PERF-03","Performance additionality and assumptions","Comparator firms","comparator_cohort_id|sector|firm_size|firm_age|geography|status|financial_metrics|tax_metrics|performance_metrics|selection_method|matching_method","An EPZ record is excluded but no matched non-SEZ comparator cohort or method exists.","Not demonstrated","NOT_REQUESTED","Blocking analytical evidence required","Limited-pilot minimum","FBR / SECP / sector data / REMIT","Independent analytical reviewer","Comparator cohort and period; mixed metrics","Relocation distortion and additionality","The model cannot support causal interpretation","Define a minimum comparator cohort and matching approach","Report Table 9"
"PERF-04","Performance additionality and assumptions","Investor counterfactual","project_id|would_invest_without_support|timing_alternative|scale_alternative|location_alternative|hurdle_rate|binding_constraint|counterfactual_evidence|interviewer|consistency_check|counterfactual_status","Counterfactual states and low/base/high assumptions exist; no project survey hurdle rate or alternative-location evidence exists.","Workflow demonstrated","NOT_REQUESTED","Blocking analytical evidence required","Limited-pilot minimum","Structured enterprise survey / interview","REMIT / independent analytical reviewer","Project survey version; probability/rate/narrative","Additionality range and investor viability","Support cannot be tied to a defensible viability gap","Add one synthetic counterfactual and evidence-bounded hurdle-gap example","Report Table 9"
"PERF-05","Performance additionality and assumptions","Macroeconomic and market assumptions","inflation|fx_pkr_per_usd|discount_rate|cost_of_debt|cost_of_equity|risk_premium|sector_price_growth|asset_life_years|tax_rule_calendar|customs_rule_calendar|assumption_key|provenance","FX discount rate growth and depreciation are versioned; financing risk and rule calendars are incomplete.","Partially demonstrated","STANDARDIZED","Specialist validation required","Limited-pilot minimum","SBP / PBS / FBR / TPO / approved sources","Fiscal modeller / TPO","Assumption series version and period; rate/currency/years","DCF NPV timing and sensitivity","Investor and fiscal NPV may use incomplete conventions","Approve a compact assumption set and nominal or real convention","Report Table 9"
"PERF-06","Performance additionality and assumptions","Administrative capacity","claim_volume|processing_time|audit_time|staffing_fte|digital_coverage|evidence_burden|exception_rate|error_rate|fraud_rate|appeal_cycle|admin_review_hours_per_claim|audit_sample_rate|annual_fte_hours","Synthetic review and audit hours sampling FTE and D7 triggers are executable.","Demonstrated","STANDARDIZED","Institutional validation required","Limited-pilot minimum","FBR / BOI / SEZA / pilot monitor","FBR / BOI / programme reviewer","Agency instrument period and scenario; hours/FTE/rate","Instrument feasibility and pilot design","Operational bottlenecks may be understated","Validate workload assumptions and define quarterly pilot measurements","Report Table 9"
